38: like
28: a
27: bright
24: diamond
23: shine
21: the
15: in
14: diamonds
14: sky
14: we're
13: i
12: woah
11: beautiful
7: you
6: eye
6: and
6: so
5: alive
5: to
4: of
4: shinin'
3: tonight
2: shooting
2: your
2: inside
2: when
2: hold
2: me
2: sight
2: energy
2: felt
2: vision
2: at
2: rays
2: away
2: sun
2: eyes
2: i'm
2: life
2: see
2: you're
2: star
2: ecstasy
2: saw
2: right
2: first
1: die
1: oh-oh
1: happy
1: feel
1: yeah
1: that
1: find
1: molly
1: warmth
1: never
1: as
1: light
1: become
1: be
1: choose
1: sea
1: we
1: oh
1: palms
1: moonshine
1: we'd
1: we'll
1: knew
1: one
1: universe
1: rise
